Priority,Target keyword,Intent,Suggested URL,Page title (<=60 chars),Meta description (<=155 chars),H1,Page type,Why this is winnable (evidence from the research)
1,present continuous games,Teacher looking for a specific grammar activity,/games/present-continuous/,Present Continuous Games for ESL Class | YOURBRAND,Six no-prep present continuous games for ESL classes. Printable and online versions with clear instructions for any class size.,Present Continuous Games,Collection,"games4esl already ranks for 'games 4 esl present continuous' - proof the demand exists, but it is served by a site averaging 52 seconds and 2.65 pages. Beatable on depth."
1,comparatives and superlatives games,Teacher looking for a specific grammar activity,/games/comparatives-superlatives/,Comparatives & Superlatives Games | YOURBRAND,Comparative and superlative games for ESL classes. Free printables plus an online version. Works for teens and adults.,Comparatives and Superlatives Games,Collection,"eslgamesplus ranks for 'comparatives superlatives game' on a site declining 20% a month with only two social referrers. Weak defender."
1,prepositions of place game,Teacher looking for a specific grammar activity,/games/prepositions-of-place/,Prepositions of Place Games for ESL | YOURBRAND,Prepositions of place games for the ESL classroom. In on under behind - printable board game and online practice included.,Prepositions of Place Games,Collection,"eslgamesworld ranks for 'preposition of place in out under game' but holds only 168 keywords total at rank #1.5M. Its terms are effectively abandoned."
1,esl games online,Teacher wanting browser-based games,/online-games/,Free Online ESL Games for the Classroom | YOURBRAND,Browser-based ESL games that need no login or download. Play on any device - grammar vocabulary and speaking.,Free Online ESL Games,Hub,"Carries a $1.99 CPC - the highest bid in the ESL set - and is currently held by eslgamesworld, a decaying site averaging 16 seconds on page."
1,spelling bee game,Learner or teacher wanting a named game,/games/spelling-bee/,Spelling Bee Game - Free Online | YOURBRAND,Play a free online spelling bee game. Choose your level and practise spelling with instant feedback. No sign-up needed.,Spelling Bee Game,Game,"$2.62 CPC on Arcademics' data. Game-NAME terms are the key finding: gamestolearnenglish gets 5.13 pages per visit on these while ESL-jargon sites get 2.0-2.6."
1,hangman game english,Learner wanting a named game,/games/hangman/,Hangman Game for English Learners | YOURBRAND,Play hangman online with word lists built for English learners. Choose a topic and level - free and no download.,Hangman for English Learners,Game,"gamestolearnenglish ranks for plain 'hangman' and gets the best engagement in the ESL set. The learner-qualified variant is far less contested."
2,no prep esl games,Teacher under time pressure,/games/no-prep/,No Prep ESL Games - Zero Materials | YOURBRAND,ESL games that need no printing preparation or materials. Ready to run in under a minute for any class size.,No Prep ESL Games,Collection,"High-intent phrasing that no site in the study ranks for. Teachers search this at 8am before class - strong commercial intent, no incumbent."
2,esl games for large classes,Teacher with a specific constraint,/games/large-classes/,ESL Games for Large Classes (30+) | YOURBRAND,Games that actually work with 30 or more students. Low-noise options group formats and clear management tips.,ESL Games for Large Classes,Collection,"Constraint-based long tail. Nothing in the 22-site keyword sample targets class-size problems, yet it is a universal teacher pain point."
2,esl games for one to one classes,Teacher with a specific constraint,/games/one-to-one/,ESL Games for 1-to-1 Lessons | YOURBRAND,Games designed for single-student lessons where team games do not work. Online and in-person versions.,ESL Games for One-to-One Lessons,Collection,"Completely unserved in the competitive set. The private-tutor market is large and none of the incumbents address it directly."
2,online esl board games,Teacher wanting a format,/online-games/board-games/,Online ESL Board Games - Free to Play | YOURBRAND,Digital board games for ESL classes. Share your screen and play - grammar vocabulary and conversation boards included.,Online ESL Board Games,Collection,"eslkidsgames ranks for 'esl online board games for kids' but has a 55.9% bounce rate and is down 27.6% - the worst trajectory in the set."
2,esl warm up games adults,Teacher wanting a lesson stage,/games/warmers-adults/,ESL Warm Up Games for Adults | YOURBRAND,Five-minute warmers for adult English classes. No materials needed and nothing childish - suitable for business classes.,ESL Warm Up Games for Adults,Collection,"Lesson-stage plus audience qualifier. The 'for adults' modifier matters because most ESL game content skews young-learner."
2,past simple board game,Teacher looking for a specific grammar activity,/games/past-simple/,Past Simple Board Game - Free Printable | YOURBRAND,A printable past simple board game plus an online version. Regular and irregular verbs with teacher instructions.,Past Simple Games,Collection,"Grammar + format is the pattern teach-this wins on ('plural nouns activities'), and it converts: 60.6% organic feeding a paid membership."
3,feelings and emotions esl activity,Teacher looking for a topic activity,/activities/feelings-emotions/,Feelings & Emotions ESL Activities | YOURBRAND,Activities for teaching feelings and emotions vocabulary. Flashcards a speaking task and a printable game.,Feelings and Emotions Activities,Collection,"teach-this ranks for almost exactly this phrase. It is a membership site with no advertising - beatable on free access alone."
3,esl games for teenagers,Teacher wanting an age fit,/games/teenagers/,ESL Games for Teenagers That Actually Work | YOURBRAND,Games that engage teenage English learners without feeling childish. Competitive formats and discussion games.,ESL Games for Teenagers,Collection,"Age-qualified long tail. The incumbents split between young learners and generic - the teen segment is thin."
3,esl games no materials,Teacher under constraint,/games/no-materials/,ESL Games With No Materials Needed | YOURBRAND,Games you can run with nothing but your voice and a whiteboard. Ideal for cover lessons and last-minute classes.,ESL Games With No Materials,Collection,"Sibling term to 'no prep' - same high intent, same absence of any incumbent targeting it."
3,modal verbs speaking activity,Teacher looking for a specific grammar activity,/activities/modal-verbs/,Modal Verbs Speaking Activities | YOURBRAND,Speaking activities for modal verbs - must should can and have to. Discussion prompts and a role-play task.,Modal Verbs Speaking Activities,Collection,"Grammar + skill combination. Deep long tail with low competition and clear teacher intent."
3,vocabulary review games esl,Teacher wanting a lesson stage,/games/vocabulary-review/,ESL Vocabulary Review Games | YOURBRAND,Games for revising vocabulary at the end of a unit. Works with any word list - online and printable formats.,Vocabulary Review Games,Collection,"Lesson-stage term serving a recurring weekly need, which drives repeat visits rather than one-off traffic."
3,esl games for zoom,Teacher with a delivery constraint,/online-games/for-zoom/,ESL Games for Zoom & Online Classes | YOURBRAND,Games built for screen sharing and breakout rooms. No student login required - just share the link.,ESL Games for Zoom Classes,Collection,"Online-teaching constraint that none of the studied sites target, despite online tutoring being a large and growing segment."
4,esl games,Broad category term,/,Free ESL Games for Teachers | YOURBRAND,Free ESL games for every level and class size. Grammar vocabulary and speaking games - printable and online.,Free ESL Games for Teachers,Homepage,"AMBITIOUS - games4esl holds this with 1,800 keywords. Listed as a long-term homepage target only. Do not expect to rank here for 18+ months."
4,english games for students,Broad category term,/games/,English Games for Students | YOURBRAND,A full library of English learning games sorted by grammar point vocabulary topic level and class size.,English Games for Students,Hub,"AMBITIOUS - held by eslgamesplus. Included as the natural hub-page target, not as an early win."
